sample,rep_1,rep_2,Pass_coverage
107603005,1375.16025495106,1242.28902041126,Pass
109901001,1334.93831094924,2321.93125426815,Pass
109902002,2200.68237347295,3347.06404127779,Pass
110102002,8906.14409287503,4127.88565141513,Pass
110402002,2607.62311252751,1587.93163365961,Pass
110701001,3767.06252371197,2174.94544350861,Pass
111501003,5338.71538052963,3995.50679110706,Pass
111505001,1699.17732756658,3844.09977995296,Pass
111601001,7106.48653160331,5129.58949844449,Pass
111901001,5076.14727976326,3139.20122922832,Pass
111902002,5429.88770012899,3636.61446240231,Pass
111904002,8917.81167008119,6268.47659154716,Pass
112102002,8894.84748463465,5544.10774717353,Pass
112301001,8691.74171029668,5996.48691099476,Pass
112302002,1696.53031337734,1036.30389255634,Pass
112901001,4152.63540481068,5131.00068290462,Pass
112902002,6405.44403976022,8067.14181652629,Pass
113003004,5919.68222171637,7463.89058350406,Pass
113004005,1760.71530465134,1904.64200622202,Pass
113601001,1704.52834054177,6555.30222323393,Pass
114501001,1752.60710220806,2583.83959329236,Pass
114502002,1055.66492146597,1252.70050838455,Pass
114503002,1372.13422869717,2086.32544199105,Pass
202701001,2301.88185750057,3027.22399271568,Pass
400601001,3419.47492222475,4049.92343880416,Pass
400602005,6366.0034904014,4220.10144927536,Pass
700101001,2696.04833447151,1897.82585932165,Pass
700103003,7762.54564079217,6786.04878974125,Pass
700401001,4466.5574778056,3561.17573412247,Pass
700402002,4232.58851202671,4181.05364595189,Pass
700601001,6700.18734350102,5842.68404279536,Pass
700602002,5668.07959632749,4136.42021397678,Pass
700603002,6441.83845511799,4470.631838531,Pass
700701001,1747.04393353062,1051.01479626679,Pass
700903002,8680.26929205554,6531.39107671295,Pass
701202002,4330.02966841187,6634.79368692617,Pass
701301001,1328.89293573109,1348.87358676683,Pass
701302006,5169.24410046286,5680.62857576447,Pass
701401001,3860.92882616283,5628.56347219061,Pass
701702002,3337.84103497989,2935.84596706882,Pass
701703002,6214.11207223613,6255.11131345322,Pass
701802003,2408.12231580545,1905.01176113514,Pass
702303002,6650.47325290234,6246.31383261249,Pass
703102002,4529.53615600577,6416.98892176948,Pass
703401001,1514.13779497686,1819.95204491995,Pass
703402003,1455.68472569998,1103.30123681615,Pass
703703002,5287.23279459747,3947.5298581076,Pass
703704002,3972.45868427043,2530.21640488656,Pass
703903003,6272.58593216481,4123.673268078,Pass
704001001,6158.10061461416,3618.05895743228,Pass
704003003,5174.86212914485,2753.09818650884,Pass
704202002,6819.53577661431,4225.07200849837,Pass
704203002,4507.98345853251,3037.80764853176,Pass
705401001,5277.24501100235,3600.57007360194,Pass
