"pair"	"max_LL"	"lower_CI"	"upper_CI"	"corrected"
1	1	1	10	3
2	2	2	3	0
3	2	2	3	0
4	4	2	10	0
5	4	2	10	0
6	5	2	16	0
7	5	2	16	0
8	1	1	47	3
9	1	1	2	3
10	1	1	2	3
11	1	1	23	3
12	1	1	2	3
13	1	1	7	3
14	11	4	30	0
15	1	1	1	3
16	1	1	1	3
17	1	1	6	3
18	1	1	9	3
19	1	1	14	3
20	9	2	27	0
21	1	1	1	3
22	1	1	14	3
23	1	1	59	3
24	10	3	32	0
25	2	2	3	0
26	24	7	69	0
27	14	7	25	0
28	4	2	12	0
29	18	6	49	0
30	9	2	29	0
31	10	4	24	0
32	10	4	23	0
33	187	26	200	0
34	7	2	22	0
35	2	2	4	0
36	1	1	1	3
37	2	2	3	0
38	2	2	3	0
39	2	2	3	0
40	1	1	15	3
41	1	1	8	3
42	1	1	2	3
43	1	1	2	3
44	1	1	37	3
45	1	1	9	3
46	1	1	9	3
47	1	1	22	3
48	2	2	5	0
49	1	1	4	3
50	1	1	2	3
51	1	1	4	3
52	1	1	2	3
53	999	999	999	999
54	1	1	8	3
55	1	1	3	3
56	1	1	39	3
57	1	1	13	3
58	1	1	17	3
59	1	1	4	3
60	999	999	999	999
61	999	999	999	999
62	1	1	11	3
