"bottleneck_size"	"Log_Likelihood"	"pair"
1	-0.207195661970158	1
2	-0.412294041970166	1
3	-0.615312038737019	1
4	-0.816267189920076	1
5	-1.01517764281042	1
6	-1.21206212403296	1
7	-1.4069399083557	1
8	-1.59983078677187	1
9	-1.79075503401089	1
10	-1.97973337563251	1
11	-2.16678695485545	1
12	-2.35193729926839	1
13	-2.53520628756509	1
14	-2.71661611643997	1
15	-2.89618926777285	1
16	-3.07394847622391	1
17	-3.24991669735124	1
18	-3.42411707635468	1
19	-3.59657291754013	1
20	-3.76730765458898	1
21	-3.93634482170797	1
22	-4.10370802572492	1
23	-4.26942091918649	1
24	-4.43350717450505	1
25	-4.59599045919232	1
26	-4.75689441220967	1
27	-4.916242621456	1
28	-5.0740586024072	1
29	-5.23036577791352	1
30	-5.38518745915494	1
31	-5.53854682774835	1
32	-5.69046691899492	1
33	-5.84097060625127	1
34	-5.99008058640321	1
35	-6.13781936641766	1
36	-6.28420925094426	1
37	-6.42927233093597	1
38	-6.57303047325529	1
39	-6.71550531123074	1
40	-6.85671823612707	1
41	-6.99669038949114	1
42	-7.13544265633491	1
43	-7.27299565911639	1
44	-7.4093697524794	1
45	-7.5445850187127	1
46	-7.67866126388992	1
47	-7.8116180146517	1
48	-7.94347451559245	1
49	-8.074249727215	1
50	-8.2039623244171	1
51	-8.33263069547506	1
52	-8.46027294149091	1
53	-8.5869068762706	1
54	-8.712550026602	1
55	-8.83721963290297	1
56	-8.96093265021083	1
57	-9.08370574948602	1
58	-9.20555531920404	1
59	-9.32649746721115	1
60	-9.44654802282044	1
61	-9.56572253912633	1
62	-9.68403629551676	1
63	-9.80150430036338	1
64	-9.91814129387159	1
65	-10.033961751073	1
66	-10.1489798849443	1
67	-10.2632096496374	1
68	-10.3766647438066	1
69	-10.4893586140202	1
70	-10.6013044582436	1
71	-10.712515229383	1
72	-10.8230036388796	1
73	-10.9327821603434	1
74	-11.0418630332187	1
75	-11.1502582664728	1
76	-11.2579796422999	1
77	-11.3650387198332	1
78	-11.4714468388597	1
79	-11.5772151235303	1
80	-11.6823544860611	1
81	-11.7868756304205	1
82	-11.8907890559975	1
83	-11.9941050612478	1
84	-12.0968337473132	1
85	-12.1989850216115	1
86	-12.3005686013943	1
87	-12.4015940172693	1
88	-12.5020706166853	1
89	-12.6020075673776	1
90	-12.7014138607722	1
91	-12.8002983153466	1
92	-12.8986695799474	1
93	-12.9965361370608	1
94	-13.0939063060377	1
95	-13.1907882462713	1
96	-13.2871899603265	1
97	-13.3831192970202	1
98	-13.4785839544539	1
99	-13.5735914829954	1
100	-13.6681492882123	1
101	-13.7622646337553	1
102	-13.8559446441917	1
103	-13.9491963077901	1
104	-14.0420264792547	1
105	-14.1344418824114	1
106	-14.2264491128445	1
107	-14.3180546404847	1
108	-14.4092648121496	1
109	-14.5000858540355	1
110	-14.5905238741625	1
111	-14.6805848647728	1
112	-14.7702747046823	1
113	-14.8595991615871	1
114	-14.9485638943239	1
115	-15.0371744550872	1
116	-15.1254362916009	1
117	-15.2133547492481	1
118	-15.3009350731571	1
119	-15.3881824102461	1
120	-15.4751018112262	1
121	-15.5616982325637	1
122	-15.6479765384024	1
123	-15.7339415024466	1
124	-15.8195978098054	1
125	-15.9049500587988	1
126	-15.9900027627267	1
127	-16.0747603516011	1
128	-16.1592271738424	1
129	-16.2434074979405	1
130	-16.3273055140804	1
131	-16.4109253357353	1
132	-16.4942710012246	1
133	-16.5773464752408	1
134	-16.660155650343	1
135	-16.7427023484198	1
136	-16.8249903221211	1
137	-16.9070232562596	1
138	-16.9888047691826	1
139	-17.0703384141152	1
140	-17.1516276804748	1
141	-17.2326759951579	1
142	-17.3134867237992	1
143	-17.3940631720048	1
144	-17.4744085865583	1
145	-17.5545261566024	1
146	-17.6344190147942	1
147	-17.7140902384373	1
148	-17.7935428505884	1
149	-17.8727798211418	1
150	-17.9518040678899	1
151	-18.0306184575616	1
152	-18.1092258068386	1
153	-18.1876288833502	1
154	-18.2658304066466	1
155	-18.3438330491522	1
156	-18.421639437098	1
157	-18.4992521514346	1
158	-18.5766737287259	1
159	-18.6539066620237	1
160	-18.7309534017239	1
161	-18.8078163564042	1
162	-18.8844978936447	1
163	-18.9610003408307	1
164	-19.0373259859385	1
165	-19.1134770783051	1
166	-19.1894558293812	1
167	-19.2652644134681	1
168	-19.3409049684399	1
169	-19.4163795964499	1
170	-19.4916903646217	1
171	-19.5668393057273	1
172	-19.6418284188489	1
173	-19.7166596700288	1
174	-19.7913349929041	1
175	-19.8658562893291	1
176	-19.9402254299842	1
177	-20.0144442549723	1
178	-20.0885145744025	1
179	-20.1624381689618	1
180	-20.2362167904749	1
181	-20.3098521624525	1
182	-20.3833459806274	1
183	-20.4566999134805	1
184	-20.5299156027556	1
185	-20.6029946639627	1
186	-20.6759386868722	1
187	-20.7487492359978	1
188	-20.8214278510699	1
189	-20.8939760474993	1
190	-20.9663953168312	1
191	-21.0386871271897	1
192	-21.1108529237135	1
193	-21.1828941289823	1
194	-21.2548121434349	1
195	-21.3266083457781	1
196	-21.3982840933879	1
197	-21.4698407227022	1
198	-21.5412795496054	1
199	-21.6126018698053	1
200	-21.683808959202	1
1	-Inf	2
2	-8.84305877693754	2
3	-9.87562370564221	2
4	-11.2624995465315	2
5	-12.7944205603662	2
6	-14.4051089140213	2
7	-16.0657620750641	2
8	-17.7613291841569	2
9	-19.4828621655458	2
10	-21.2245289796791	2
11	-22.9822742815367	2
12	-24.7531456654064	2
13	-26.5349202649014	2
14	-28.3258809230077	2
15	-30.124673586293	2
16	-31.9302121317145	2
17	-33.7416125512352	2
18	-35.5581461498854	2
19	-37.3792055001277	2
20	-39.2042791974773	2
21	-41.0329328291639	2
22	-42.8647944143942	2
23	-44.6995431174969	2
24	-46.5369003927123	2
25	-48.3766229602338	2
26	-50.2184971785094	2
27	-52.0623344933098	2
28	-53.9079677259501	2
29	-55.7552480218818	2
30	-57.6040423236835	2
31	-59.4542312639983	2
32	-61.3057073974171	2
33	-63.1583737079493	2
34	-65.012142342106	2
35	-66.866933527877	2
36	-68.722674647804	2
37	-70.5792994405189	2
38	-72.4367473099565	2
39	-74.2949627252711	2
40	-76.1538946975296	2
41	-78.0134963216849	2
42	-79.8737243742956	2
43	-81.7345389590432	2
44	-83.5959031933908	2
45	-85.4577829307854	2
46	-87.3201465136758	2
47	-89.1829645533341	2
48	-91.0462097330715	2
49	-92.9098566319274	2
50	-94.773881566336	2
51	-96.638262447617	2
52	-98.5029786534359	2
53	-100.368010911627	2
54	-102.233341194985	2
55	-104.098952625808	2
56	-105.964829389143	2
57	-107.830956653783	2
58	-109.697320500231	2
59	-111.563907854893	2
60	-113.430706429874	2
61	-115.297704667827	2
62	-117.164891691347	2
63	-119.032257256488	2
64	-120.899791709994	2
65	-122.767485949915	2
66	-124.635331389283	2
67	-126.503319922581	2
68	-128.37144389475	2
69	-130.239696072513	2
70	-132.108069617812	2
71	-133.97655806319	2
72	-135.84515528893	2
73	-137.713855501834	2
74	-139.582653215484	2
75	-141.451543231878	2
76	-143.320520624324	2
77	-145.189580721502	2
78	-147.058719092591	2
79	-148.927931533388	2
80	-150.797214053339	2
81	-152.666562863415	2
82	-154.535974364775	2
83	-156.405445138141	2
84	-158.274971933862	2
85	-160.144551662586	2
86	-162.014181386521	2
87	-163.883858311227	2
88	-165.753579777918	2
89	-167.623343256221	2
90	-169.493146337374	2
91	-171.362986727828	2
92	-173.23286224323	2
93	-175.10277080275	2
94	-176.972710423747	2
95	-178.842679216737	2
96	-180.712675380653	2
97	-182.58269719837	2
98	-184.452743032488	2
99	-186.322811321344	2
100	-188.192900575253	2
101	-190.063009372955	2
102	-191.933136358252	2
103	-193.803280236834	2
104	-195.673439773278	2
105	-197.5436137882	2
106	-199.41380115557	2
107	-201.284000800163	2
108	-203.154211695144	2
109	-205.024432859788	2
110	-206.894663357306	2
111	-208.764902292797	2
112	-210.635148811295	2
113	-212.505402095925	2
114	-214.375661366145	2
115	-216.245925876082	2
116	-218.116194912954	2
117	-219.986467795563	2
118	-221.856743872873	2
119	-223.727022522648	2
120	-225.597303150168	2
121	-227.467585187003	2
122	-229.337868089841	2
123	-231.208151339385	2
124	-233.078434439296	2
125	-234.948716915184	2
126	-236.818998313656	2
127	-238.6892782014	2
128	-240.559556164322	2
129	-242.429831806713	2
130	-244.300104750466	2
131	-246.170374634321	2
132	-248.040641113146	2
133	-249.910903857262	2
134	-251.781162551779	2
135	-253.651416895984	2
136	-255.521666602743	2
137	-257.391911397931	2
138	-259.262151019896	2
139	-261.132385218939	2
140	-263.002613756821	2
141	-264.872836406291	2
142	-266.743052950635	2
143	-268.613263183245	2
144	-270.483466907205	2
145	-272.353663934902	2
146	-274.223854087644	2
147	-276.094037195301	2
148	-277.964213095962	2
149	-279.834381635602	2
150	-281.704542667769	2
151	-283.574696053277	2
152	-285.444841659922	2
153	-287.314979362201	2
154	-289.185109041045	2
155	-291.055230583569	2
156	-292.925343882825	2
157	-294.795448837565	2
158	-296.665545352026	2
159	-298.535633335705	2
160	-300.405712703159	2
161	-302.275783373806	2
162	-304.145845271734	2
163	-306.01589832552	2
164	-307.885942468057	2
165	-309.755977636383	2
166	-311.626003771525	2
167	-313.496020818337	2
168	-315.366028725362	2
169	-317.236027444679	2
170	-319.106016931774	2
171	-320.975997145405	2
172	-322.845968047477	2
173	-324.71592960292	2
174	-326.585881779572	2
175	-328.455824548067	2
176	-330.32575788173	2
177	-332.195681756469	2
178	-334.065596150677	2
179	-335.935501045138	2
180	-337.805396422934	2
181	-339.675282269353	2
182	-341.545158571809	2
183	-343.415025319754	2
184	-345.284882504604	2
185	-347.154730119662	2
186	-349.024568160042	2
187	-350.8943966226	2
188	-352.764215505866	2
189	-354.634024809981	2
190	-356.503824536629	2
191	-358.373614688981	2
192	-360.243395271633	2
193	-362.113166290552	2
194	-363.982927753021	2
195	-365.852679667588	2
196	-367.72242204401	2
197	-369.592154893214	2
198	-371.46187822724	2
199	-373.331592059205	2
200	-375.20129640325	2
1	-Inf	3
2	-8.84305877693754	3
3	-9.87438831589255	3
4	-11.2600365839647	3
5	-12.7907378399153	3
6	-14.4002142479548	3
7	-16.0596632723212	3
8	-17.7540340496838	3
9	-19.4743784996337	3
10	-21.2148645773035	3
11	-22.971436931698	3
12	-24.7411431504732	3
13	-26.5217603599552	3
14	-28.3115713951902	3
15	-30.1092221941559	3
16	-31.9136266245724	3
17	-33.7239006685205	3
18	-35.5393156205074	3
19	-37.3592640418342	3
20	-39.1832345162204	3
21	-41.0107926184689	3
22	-42.8415663547328	3
23	-44.6752348756645	3
24	-46.5115196212091	3
25	-48.3501772966512	3
26	-50.1909942449203	3
27	-52.0337818956641	3
28	-53.8783730534751	3
29	-55.7246188464876	3
30	-57.5723861993745	3
31	-59.4215557262889	3
32	-61.2720199627541	3
33	-63.12368187314	3
34	-64.9764535837519	3
35	-66.8302553018139	3
36	-68.6850143885482	3
37	-70.5406645607201	3
38	-72.397145199857	3
39	-74.2544007521719	3
40	-76.112380205263	3
41	-77.9710366300947	3
42	-79.8303267787236	3
43	-81.6902107298234	3
44	-83.5506515753511	3
45	-85.4116151427562	3
46	-87.2730697480062	3
47	-89.1349859754165	3
48	-90.9973364808728	3
49	-92.860095815529	3
50	-94.7232402674813	3
51	-96.5867477192669	3
52	-98.4505975193326	3
53	-100.314770365866	3
54	-102.179248201594	3
55	-104.044014118339	3
56	-105.909052270263	3
57	-107.774347794885	3
58	-109.639886741046	3
59	-111.50565600311	3
60	-113.371643260774	3
61	-115.237836923921	3
62	-117.104226082026	3
63	-118.970800457677	3
64	-120.837550363821	3
65	-122.704466664382	3
66	-124.571540737953	3
67	-126.438764444267	3
68	-128.306130093219	3
69	-130.173630416192	3
70	-132.041258539511	3
71	-133.909007959825	3
72	-135.776872521263	3
73	-137.644846394216	3
74	-139.51292405561	3
75	-141.381100270548	3
76	-143.249370075218	3
77	-145.117728760957	3
78	-146.986171859392	3
79	-148.854695128565	3
80	-150.723294539972	3
81	-152.591966266454	3
82	-154.460706670857	3
83	-156.329512295429	3
84	-158.19837985188	3
85	-160.067306212073	3
86	-161.936288399284	3
87	-163.805323580013	3
88	-165.674409056283	3
89	-167.543542258415	3
90	-169.412720738233	3
91	-171.281942162671	3
92	-173.151204307764	3
93	-175.020505052991	3
94	-176.889842375937	3
95	-178.759214347279	3
96	-180.628619126047	3
97	-182.49805495516	3
98	-184.367520157214	3
99	-186.237013130507	3
100	-188.106532345281	3
101	-189.976076340177	3
102	-191.845643718887	3
103	-193.715233146977	3
104	-195.584843348897	3
105	-197.454473105144	3
106	-199.324121249578	3
107	-201.193786666882	3
108	-203.063468290155	3
109	-204.933165098634	3
110	-206.802876115535	3
111	-208.672600406001	3
112	-210.542337075165	3
113	-212.412085266303	3
114	-214.28184415909	3
115	-216.151612967939	3
116	-218.021390940425	3
117	-219.89117735579	3
118	-221.760971523522	3
119	-223.630772782002	3
120	-225.500580497224	3
121	-227.370394061571	3
122	-229.240212892655	3
123	-231.110036432213	3
124	-232.979864145056	3
125	-234.849695518071	3
126	-236.719530059264	3
127	-238.589367296857	3
128	-240.459206778423	3
129	-242.329048070064	3
130	-244.198890755626	3
131	-246.068734435951	3
132	-247.938578728166	3
133	-249.808423265002	3
134	-251.678267694147	3
135	-253.548111677626	3
136	-255.417954891212	3
137	-257.287797023862	3
138	-259.157637777178	3
139	-261.027476864896	3
140	-262.897314012394	3
141	-264.767148956224	3
142	-266.63698144366	3
143	-268.506811232276	3
144	-270.376638089535	3
145	-272.246461792394	3
146	-274.116282126934	3
147	-275.986098888	3
148	-277.85591187886	3
149	-279.725720910875	3
150	-281.595525803187	3
151	-283.46532638242	3
152	-285.335122482386	3
153	-287.20491394382	3
154	-289.074700614105	3
155	-290.944482347028	3
156	-292.814259002532	3
157	-294.684030446488	3
158	-296.553796550468	3
159	-298.423557191535	3
160	-300.293312252039	3
161	-302.163061619415	3
162	-304.032805186001	3
163	-305.902542848854	3
164	-307.772274509577	3
165	-309.64200007415	3
166	-311.511719452777	3
167	-313.381432559725	3
168	-315.251139313178	3
169	-317.1208396351	3
170	-318.990533451094	3
171	-320.860220690271	3
172	-322.729901285127	3
173	-324.599575171421	3
174	-326.469242288058	3
175	-328.338902576978	3
176	-330.208555983048	3
177	-332.078202453958	3
178	-333.947841940122	3
179	-335.817474394585	3
180	-337.687099772923	3
181	-339.556718033163	3
182	-341.426329135692	3
183	-343.295933043177	3
184	-345.165529720484	3
185	-347.035119134603	3
186	-348.904701254574	3
187	-350.774276051418	3
188	-352.643843498062	3
189	-354.513403569281	3
190	-356.382956241632	3
191	-358.252501493388	3
192	-360.122039304487	3
193	-361.991569656467	3
194	-363.861092532418	3
195	-365.730607916923	3
196	-367.60011579601	3
197	-369.469616157104	3
198	-371.339108988975	3
199	-373.208594281696	3
200	-375.078072026594	3
1	-Inf	4
2	-5.47044179785865	4
3	-5.00023332195121	4
4	-4.92893914199532	4
5	-5.03350561720253	4
6	-5.23707136981218	4
7	-5.50337735068594	4
8	-5.81233750763034	4
9	-6.15165312957555	4
10	-6.51325748639223	4
11	-6.89158789179599	4
12	-7.28266033965218	4
13	-7.68353635026962	4
14	-8.0919976504273	4
15	-8.50633824515394	4
