"pair_id"	"warnings"
62	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
61	"Peak bottleneck value for MLE is at Nb_max (or largest possible value given Nb_increment)!  Try raising Nb_max for better bottleneck estimate"
61	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
60	"Peak bottleneck value for MLE is at Nb_max (or largest possible value given Nb_increment)!  Try raising Nb_max for better bottleneck estimate"
60	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
59	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
58	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
57	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
56	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
55	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
54	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
53	"Peak bottleneck value for MLE is at Nb_max (or largest possible value given Nb_increment)!  Try raising Nb_max for better bottleneck estimate"
53	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
52	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
51	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
50	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
49	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
48	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
47	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
46	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
45	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
44	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
43	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
42	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
41	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
40	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
39	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
38	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
37	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
36	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
35	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
34	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
33	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
32	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
31	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
30	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
29	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
28	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
27	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
26	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
25	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
24	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
23	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
22	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
21	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
20	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
19	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
18	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
17	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
16	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
15	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
14	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
13	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
12	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
11	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
10	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
9	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
8	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
7	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
6	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
5	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
4	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
3	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
2	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
1	"WARNING:  Rows of input file with donor frequency less than variant calling threshold have been removed during analysis."
