Seg,Length,Length_to_add,Length_to_add_new
PB2,2341,0,0
PB1,2341,2341,2341
PA,2233,4682,4682
HA,1777,6915,6915
NP,1565,8692,8692
NA_,1458,10150,10257
M,1027,11177,11715
NS,877,12054,12742
