"pair_id"	"region"	"pos"	"donor_freq"	"recip_freq"
1	"HA"	628	0.99102894	1
1	"M"	84	0.99371381	1
1	"NP"	1362	0.98872345	1
1	"NP"	1529	0.994148395	1
1	"NS"	289	0.98627355	1
1	"PA"	1013	0.99133833	1
1	"PA"	159	0.991644735	1
1	"PA"	1612	0.98848475	1
1	"PA"	1924	0.98277585	1
1	"PB1"	2052	0.99192681	1
1	"PB1"	2110	0.9491787	1
1	"PB2"	1677	0.99395827	1
1	"PB2"	2146	0.97640125	1
1	"PB2"	2150	0.97570475	1
1	"M"	854	1	0.97875805
1	"NA_"	1162	1	0.9815694
1	"NA_"	245	1	0.97275925
1	"NA_"	843	1	0.8488905
1	"NA_"	950	1	0.98978133
1	"NP"	52	1	0.992925785
1	"PA"	1220	1	0.9025242
1	"PA"	1611	1	0.993795075
1	"PA"	1923	1	0.96973575
1	"PA"	2130	1	0.97300565
1	"PB1"	1368	1	0.99347929
1	"PB1"	1463	1	0.9792538
1	"PB1"	402	1	0.9658575
1	"PB1"	428	1	0.7610805
1	"PB2"	1384	1	0.993397005
1	"PB2"	1947	1	0.9685287
1	"PB2"	602	1	0.98993635
1	"M"	31	1	0.9921112
2	"M"	997	0.00620764	0.00739651
2	"PA"	2010	0.990702225	1
2	"PA"	404	0.99263549	1
2	"PB1"	1073	0.1080855	1
2	"PB2"	821	0.97796765	1
2	"HA"	91	1	0.8514945
2	"M"	379	1	0.98796565
2	"M"	589	1	0.9846264
2	"NP"	377	1	0.993350175
2	"NP"	934	1	0.9823529
2	"NS"	389	1	0.99167321
2	"NS"	789	1	0.8831365
2	"PA"	1392	1	0.865151
2	"PB1"	1733	1	0.99181444
2	"PB1"	1767	1	0.990970805
2	"PB2"	2048	1	0.9817867
2	"NS"	696	1	0.91448855
2	"PB1"	369	1	0.98743335
3	"M"	997	0.00620764	0.00616173
3	"PA"	2010	0.990702225	1
3	"PA"	404	0.99263549	1
3	"PB1"	1073	0.1080855	1
3	"PB2"	821	0.97796765	1
3	"HA"	1328	1	0.9792055
3	"HA"	526	1	0.96180945
3	"HA"	858	1	0.9865192
3	"HA"	872	1	0.98649605
3	"NA_"	1066	1	0.98638135
3	"NA_"	1311	1	0.99250571
3	"NA_"	53	1	0.99209999
3	"NP"	943	1	0.993045075
3	"NS"	66	1	0.991176865
3	"PA"	409	1	0.99206814
3	"PB2"	1106	1	0.97500835
3	"PB2"	1386	1	0.994566395
3	"PB2"	2290	1	0.99344536
3	"PB2"	462	1	0.792291
3	"PB1"	239	1	0.99023556
4	"HA"	91	0.8514945	1
4	"M"	379	0.98796565	1
4	"M"	589	0.9846264	1
4	"M"	997	0.00739651	0.00620764
4	"NP"	377	0.993350175	1
4	"NP"	934	0.9823529	1
4	"NS"	389	0.99167321	1
4	"NS"	789	0.8831365	1
4	"PA"	1392	0.865151	1
4	"PB1"	1733	0.99181444	1
4	"PB1"	1767	0.990970805	1
4	"PB2"	2048	0.9817867	1
4	"NS"	696	0.91448855	1
4	"PB1"	369	0.98743335	1
4	"PA"	2010	1	0.990702225
4	"PA"	404	1	0.99263549
4	"PB1"	1073	1	0.1080855
4	"PB2"	821	1	0.97796765
5	"HA"	91	0.8514945	1
5	"M"	379	0.98796565	1
5	"M"	589	0.9846264	1
5	"M"	997	0.00739651	0.00616173
5	"NP"	377	0.993350175	1
5	"NP"	934	0.9823529	1
5	"NS"	389	0.99167321	1
5	"NS"	789	0.8831365	1
5	"PA"	1392	0.865151	1
5	"PB1"	1733	0.99181444	1
5	"PB1"	1767	0.990970805	1
5	"PB2"	2048	0.9817867	1
5	"NS"	696	0.91448855	1
5	"PB1"	369	0.98743335	1
5	"HA"	1328	1	0.9792055
5	"HA"	526	1	0.96180945
5	"HA"	858	1	0.9865192
5	"HA"	872	1	0.98649605
5	"NA_"	1066	1	0.98638135
5	"NA_"	1311	1	0.99250571
5	"NA_"	53	1	0.99209999
5	"NP"	943	1	0.993045075
5	"NS"	66	1	0.991176865
5	"PA"	409	1	0.99206814
5	"PB2"	1106	1	0.97500835
5	"PB2"	1386	1	0.994566395
5	"PB2"	2290	1	0.99344536
5	"PB2"	462	1	0.792291
5	"PB1"	239	1	0.99023556
6	"HA"	1328	0.9792055	1
6	"HA"	526	0.96180945	1
6	"HA"	858	0.9865192	1
6	"HA"	872	0.98649605	1
6	"M"	997	0.00616173	0.00739651
6	"NA_"	1066	0.98638135	1
6	"NA_"	1311	0.99250571	1
6	"NA_"	53	0.99209999	1
6	"NP"	943	0.993045075	1
6	"NS"	66	0.991176865	1
6	"PA"	409	0.99206814	1
6	"PB2"	1106	0.97500835	1
6	"PB2"	1386	0.994566395	1
6	"PB2"	2290	0.99344536	1
6	"PB2"	462	0.792291	1
6	"PB1"	239	0.99023556	1
6	"HA"	91	1	0.8514945
6	"M"	379	1	0.98796565
6	"M"	589	1	0.9846264
6	"NP"	377	1	0.993350175
6	"NP"	934	1	0.9823529
6	"NS"	389	1	0.99167321
6	"NS"	789	1	0.8831365
6	"PA"	1392	1	0.865151
6	"PB1"	1733	1	0.99181444
6	"PB1"	1767	1	0.990970805
6	"PB2"	2048	1	0.9817867
6	"NS"	696	1	0.91448855
6	"PB1"	369	1	0.98743335
7	"HA"	1328	0.9792055	1
7	"HA"	526	0.96180945	1
7	"HA"	858	0.9865192	1
7	"HA"	872	0.98649605	1
7	"M"	997	0.00616173	0.00620764
7	"NA_"	1066	0.98638135	1
7	"NA_"	1311	0.99250571	1
7	"NA_"	53	0.99209999	1
7	"NP"	943	0.993045075	1
7	"NS"	66	0.991176865	1
7	"PA"	409	0.99206814	1
7	"PB2"	1106	0.97500835	1
7	"PB2"	1386	0.994566395	1
7	"PB2"	2290	0.99344536	1
7	"PB2"	462	0.792291	1
7	"PB1"	239	0.99023556	1
7	"PA"	2010	1	0.990702225
7	"PA"	404	1	0.99263549
7	"PB1"	1073	1	0.1080855
7	"PB2"	821	1	0.97796765
8	"M"	850	0.994527335	1
8	"NA_"	554	0.99337756	1
8	"PA"	1077	0.97945135	1
8	"PA"	2037	0.99437608	1
8	"PB2"	2145	0.992761985	1
8	"PB2"	246	0.99376101	1
